business_unit,week,year,type,total_revenue,avg_revenue,total_quantity
ADVENTURING,1,2019,ADVENTURING EQUIPMENT,6083375,10138.958333333334,3404
ADVENTURING,1,2019,ANIMALS & TRANSPORTATION,1151938,10472.163636363637,619
ADVENTURING,1,2019,ARMS & ARMOUR,4573395,9920.596529284165,2471
ADVENTURING,1,2019,JEWELRY,825496,9711.717647058824,489
ADVENTURING,1,2019,MUSICAL INSTRUMENT,901670,9800.760869565218,535
ADVENTURING,1,2019,POTIONS & SCROLLS,1967794,9506.251207729469,1127
ADVENTURING,1,2019,SUMMONING DEVICE,40516,10129,21
ADVENTURING,1,2019,TOOLS & KITS,3543243,10152.558739255015,1934
ADVENTURING,1,2020,ADVENTURING EQUIPMENT,5188419,10133.630859375,2749
ADVENTURING,1,2020,ANIMALS & TRANSPORTATION,910391,10464.264367816091,478
ADVENTURING,1,2020,ARMS & ARMOUR,7490817,12463.921797004992,3253
ADVENTURING,1,2020,JEWELRY,623536,9306.507462686568,349
ADVENTURING,1,2020,MUSICAL INSTRUMENT,814272,10714.105263157895,398
ADVENTURING,1,2020,POTIONS & SCROLLS,1747191,9815.6797752809,960
ADVENTURING,1,2020,SUMMONING DEVICE,33425,16712.5,14
ADVENTURING,1,2020,TOOLS & KITS,2923325,10115.311418685122,1737
ADVENTURING,1,2021,ADVENTURING EQUIPMENT,5161923,9926.775,2820
ADVENTURING,1,2021,ANIMALS & TRANSPORTATION,1037615,10808.489583333334,529
ADVENTURING,1,2021,ARMS & ARMOUR,11936634,14468.647272727272,4597
ADVENTURING,1,2021,JEWELRY,663265,9753.89705882353,354
ADVENTURING,1,2021,MUSICAL INSTRUMENT,569644,9187.806451612903,341
ADVENTURING,1,2021,POTIONS & SCROLLS,1767884,9713.648351648351,1003
ADVENTURING,1,2021,SUMMONING DEVICE,31063,10354.333333333334,15
ADVENTURING,1,2021,TOOLS & KITS,3329014,10057.444108761329,1819
ADVENTURING,1,2022,ADVENTURING EQUIPMENT,5766218,9993.445407279029,3201
ADVENTURING,1,2022,ANIMALS & TRANSPORTATION,1167016,9644.760330578512,669
